iso3,pais,ano,valor
COL,Colômbia,1990,-89.2748559441356
COL,Colômbia,1991,-92.3299348557869
COL,Colômbia,1992,-80.8628660916722
COL,Colômbia,1993,-88.9231784741522
COL,Colômbia,1994,-86.1050943537602
COL,Colômbia,1995,-106.735972028922
COL,Colômbia,1996,-125.49443416578
COL,Colômbia,1997,-139.273579739378
COL,Colômbia,1998,-157.174385275194
COL,Colômbia,1999,-195.403344275127
COL,Colômbia,2000,-183.116628744126
COL,Colômbia,2001,-176.859451117815
COL,Colômbia,2002,-171.421185151526
COL,Colômbia,2003,-181.333682204549
COL,Colômbia,2004,-192.727636672991
COL,Colômbia,2005,-189.661059210601
COL,Colômbia,2006,-198.79932817786
COL,Colômbia,2007,-202.67752129592
COL,Colômbia,2008,-206.85479163314
COL,Colômbia,2009,-216.447263669203
COL,Colômbia,2010,-245.91526329492
COL,Colômbia,2011,-284.184501762768
COL,Colômbia,2012,-308.771574616249
COL,Colômbia,2013,-223.803966779921
COL,Colômbia,2014,-237.432787599545
COL,Colômbia,2015,-212.769696143014
COL,Colômbia,2016,-201.141101141046
COL,Colômbia,2017,-250.107607124827
COL,Colômbia,2018,-228.78509726312
COL,Colômbia,2019,-181.414112402675
COL,Colômbia,2020,-192.845620308305
COL,Colômbia,2021,-145.26017037422
COL,Colômbia,2022,-139.124198035696
COL,Colômbia,2023,-141.971675507707
CRI,Costa Rica,1990,62.0013387834162
CRI,Costa Rica,1991,60.4469198765266
CRI,Costa Rica,1992,62.7204606158866
CRI,Costa Rica,1993,63.8561825218984
CRI,Costa Rica,1994,66.8854865554995
CRI,Costa Rica,1995,69.9791303643069
CRI,Costa Rica,1996,66.807883959733
CRI,Costa Rica,1997,64.9592572669497
CRI,Costa Rica,1998,72.5382734850913
CRI,Costa Rica,1999,71.2334865802912
CRI,Costa Rica,2000,61.4181343661949
CRI,Costa Rica,2001,65.25215810995
CRI,Costa Rica,2002,64.2444906705039
CRI,Costa Rica,2003,62.669800889006
CRI,Costa Rica,2004,52.0361711839526
CRI,Costa Rica,2005,54.9568327577702
CRI,Costa Rica,2006,54.4819722720156
CRI,Costa Rica,2007,56.272567056396
CRI,Costa Rica,2008,57.2668854983053
CRI,Costa Rica,2009,51.8884763483632
CRI,Costa Rica,2010,53.2435695538058
CRI,Costa Rica,2011,54.3483819791988
CRI,Costa Rica,2012,50.2921239753016
CRI,Costa Rica,2013,51.0414477078597
CRI,Costa Rica,2014,52.250373139599
CRI,Costa Rica,2015,50.8986034627929
CRI,Costa Rica,2016,56.1061929551092
CRI,Costa Rica,2017,60.5187406296853
CRI,Costa Rica,2018,58.3669186196827
CRI,Costa Rica,2019,57.9638106650688
CRI,Costa Rica,2020,46.8206156292026
CRI,Costa Rica,2021,53.3836972481409
CRI,Costa Rica,2022,53.0802332296344
CRI,Costa Rica,2023,60.4214772696159
DOM,República Dominicana,2012,93.2293243109603
DOM,República Dominicana,2013,93.032547561238
DOM,República Dominicana,2014,93.5653124204434
DOM,República Dominicana,2015,95.3565824538657
DOM,República Dominicana,2016,94.4244459368703
DOM,República Dominicana,2017,93.0408093977049
DOM,República Dominicana,2018,93.4202061685888
DOM,República Dominicana,2019,93.9406539141648
DOM,República Dominicana,2020,89.586616403506
DOM,República Dominicana,2021,91.2873799725647
DOM,República Dominicana,2022,94.4206892076641
JAM,Jamaica,1990,95.9539683989404
JAM,Jamaica,1991,94.9461444531519
JAM,Jamaica,1992,93.9549755865701
JAM,Jamaica,1993,95.8003846054345
JAM,Jamaica,1994,97.756163572546
JAM,Jamaica,1995,94.3691709330476
JAM,Jamaica,1996,90.2767536005057
JAM,Jamaica,1997,95.6959506816691
JAM,Jamaica,1998,94.5222994351099
JAM,Jamaica,1999,94.3638451836559
JAM,Jamaica,2000,103.328089733944
JAM,Jamaica,2001,99.3945489288946
JAM,Jamaica,2002,97.5056228585843
JAM,Jamaica,2003,101.82856835986
JAM,Jamaica,2004,99.1713795428899
JAM,Jamaica,2008,105.123624942318
JAM,Jamaica,2009,103.838077353586
JAM,Jamaica,2010,101.354464569431
JAM,Jamaica,2011,102.710219982956
JAM,Jamaica,2012,100.157043700802
JAM,Jamaica,2013,107.737156246829
JAM,Jamaica,2014,105.2724776289
JAM,Jamaica,2015,109.43720166783
JAM,Jamaica,2016,108.191210511983
JAM,Jamaica,2017,113.83416343848
JAM,Jamaica,2018,109.229935725367
JAM,Jamaica,2019,111.27757461366
JAM,Jamaica,2020,116.005643185217
JAM,Jamaica,2021,116.928370048263
JAM,Jamaica,2022,112.575323434922
LCN,América Latina e Caribe,1990,-36.0391890903581
LCN,América Latina e Caribe,1991,-13.8653864081246
LCN,América Latina e Caribe,1992,-12.627854837487
LCN,América Latina e Caribe,1993,-12.5748101635727
LCN,América Latina e Caribe,1994,-11.1111095461108
LCN,América Latina e Caribe,1995,-12.7463433111398
LCN,América Latina e Caribe,1996,-43.1588396444744
LCN,América Latina e Caribe,1997,-13.5595085302316
