id,bloco,dimensao,definicao,unidade,periodo_utilizado,instituicao,link,codigo_serie,data_acesso,ajustes
idh,pais,Nível de renda ou desenvolvimento,"Índice de Desenvolvimento Humano (média geométrica dos índices de saúde, educação e renda)",Índice 0–1,1990–2023,UNDP – Human Development Report Data Center,https://hdr.undp.org/data-center/documentation-and-downloads,hdi,2026-09-14,Filtro para os países do grupo de comparação (o agregado LCN não existe nesta fonte); colunas hdi_AAAA em formato longo
pib_pc_ppp,pais,Crescimento ou convergência,PIB per capita em paridade de poder de compra,US$ internacionais constantes de 2021,1990–2025,Banco Mundial – World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.KD,NY.GDP.PCAP.PP.KD,2026-09-14,Razão país/referência (x100) calculada em transform.py; referência definida em referencia_convergencia
pib_por_ocupado,pais,Produtividade ou transformação estrutural,PIB por pessoa ocupada (produtividade do trabalho),US$ internacionais constantes de 2021 (PPP),1991–2025,"Banco Mundial – WDI (origem: ILO, modelagem ILOSTAT)",https://data.worldbank.org/indicator/SL.GDP.PCAP.EM.KD,SL.GDP.PCAP.EM.KD,2026-09-14,Barras: último ano com dado para todos os países; índice base = primeiro ano comum
hci,pais,"Capital humano, pobreza, desigualdade ou qualidade de vida",Human Capital Index: produtividade esperada aos 18 anos relativa ao benchmark de saúde e educação completas,Índice 0–1,2010–2020,Banco Mundial – Human Capital Index,https://data.worldbank.org/indicator/HD.HCI.OVRL,HD.HCI.OVRL,2026-09-14,"Nenhum; tabela com o ano mais recente. Só quatro anos (2010, 2017, 2018, 2020), não é série anual; Barbados e o agregado LCN não existem nesta fonte"
energia_importada,pais,"Estabilidade macroeconômica, inserção internacional ou qualidade institucional",Importações líquidas de energia como % do uso de energia,%,1990–2023,Banco Mundial – WDI (origem: IEA),https://data.worldbank.org/indicator/EG.IMP.CONS.ZS,EG.IMP.CONS.ZS,2026-09-14,"Quinta dimensão escolhida para o PDF (decisão de 2026-09-14). Nenhum ajuste. Cobertura conferida em 2026-09-14: Jamaica 1990–2022 (sem 2005–2007); Barbados sem dado; República Dominicana só 2012–2022; demais 1990–2022/2023. Valores negativos = exportadores líquidos de energia (Colômbia, Trinidad e Tobago, agregado LCN)"
divida_publica,pais,"Estabilidade macroeconômica, inserção internacional ou qualidade institucional","Dívida do governo central, total",% do PIB,1990–2024,Banco Mundial – WDI (origem: FMI GFS),https://data.worldbank.org/indicator/GC.DOD.TOTL.GD.ZS,GC.DOD.TOTL.GD.ZS,2026-09-14,"Nenhum. Cobertura no WDI conferida em 2026-09-14 e insuficiente para comparação: Jamaica 1990–2020 (sem 2018); Colômbia 1998–2024 com lacunas; Barbados 2005–2016; Costa Rica 1996–2001; República Dominicana 1996–1999; Trinidad e Tobago 2006–2007; Panamá sem dado; LCN 2019–2021. Alternativa proposta (não ativada): dívida bruta do governo geral do FMI WEO, GGXWDG_NGDP, ver bloco comentado abaixo"
wgi_rule_of_law,pais,"Estabilidade macroeconômica, inserção internacional ou qualidade institucional",Rule of Law (estimativa),"Escore padronizado, aprox. −2,5 a 2,5",1996–2024,Banco Mundial – Worldwide Governance Indicators,https://www.worldbank.org/en/publication/worldwide-governance-indicators,GOV_WGI_RL.EST,2026-09-14,"Nenhum. Código atual da API (fonte 3) é GOV_WGI_RL.EST; o antigo RL.EST não existe mais na fonte 3 (só na fonte 57, WDI Database Archives). Sem dado em 1997, 1999 e 2001 (indicador bienal até 2002). O agregado LCN não existe no WGI"
solar_capacidade,setor,Setor – tamanho e trajetória (capacidade solar instalada),Capacidade instalada de geração solar (fotovoltaica; on-grid e off-grid),MW,2000–2025,"IRENA – Renewable Energy Statistics 2026 (republicação: Our World in Data, grapher 'installed-solar-pv-capacity', processado a partir de IRENA_Statistics_Extract_2026.xlsx; atualização do OWID em 2026-07-28)",https://ourworldindata.org/grapher/installed-solar-pv-capacity,"OWID solar__total_gw (IRENA: Solar energy, on-grid + off-grid)",2026-09-14,"Arquivo do OWID em GW, convertido para MW (x1.000, campo fator). A série do OWID é 'solar total' (fotovoltaica + solar térmica de concentração, CSP); na API do IRENASTAT (tabela Country_ELECCAP_2026_H1, consulta em 2026-09-14) a CSP é nula nos sete países e os valores do OWID coincidem com a soma PV on-grid + off-grid da IRENA em todos os anos (diferença máxima 0,01 MW; única exceção Costa Rica 2012: 2,27 vs 1,36 MW). Recorte ao período do catálogo (2025 é o último ano da fonte). Capacidade por habitante (kW/1.000 hab.) calculada em transform.py com SP.POP.TOTL"
solar_geracao_share,setor,Setor – participação do solar na geração elétrica,Participação da energia solar na geração elétrica,% da geração,2000–2025,"Ember – Yearly Electricity Data (arquivo 'Yearly electricity data – Global (CSV)', versão de 2026-09-08; atualizado mensalmente)",https://ember-energy.org/data/yearly-electricity-data/,Electricity source = Solar; coluna 'Share of generation (%)',2026-09-14,"Em julho de 2026 o Ember mudou o formato: o arquivo anual passou a ter uma linha por área, ano e fonte ('Electricity source'), com as métricas em colunas; as colunas Category/Subcategory/Variable/Unit/Value do formato longo antigo não existem mais. Filtro 'Electricity source' = Solar; valor lido de 'Share of generation (%)'. O agregado 'Latin America and Caribbean' não tem código ISO no arquivo e fica de fora (LCN ausente). Recorte ao período do catálogo; 2025 só existe para Colômbia, Costa Rica e República Dominicana (dado preliminar)"
renovaveis_geracao_share,setor,Setor – participação das renováveis na geração elétrica,Participação das renováveis na geração elétrica,% da geração,2000–2025,"Ember – Yearly Electricity Data (arquivo 'Yearly electricity data – Global (CSV)', versão de 2026-09-08; atualizado mensalmente)",https://ember-energy.org/data/yearly-electricity-data/,"Electricity source = Renewables (agregado: hidro, eólica, solar, bioenergia e outras renováveis); coluna 'Share of generation (%)'",2026-09-14,"Mesmo arquivo da série anterior, outro filtro ('Electricity source' = Renewables, linha agregada). Recorte ao período do catálogo. Atenção: Costa Rica 2025 = 109,9% porque o Ember registra 'Other fossil' negativo (-1,15 TWh) nesse ano preliminar; valor mantido como na fonte e sinalizado em verificacao.txt"
tarifa_eletricidade,setor,Setor – característica relevante para investimento (custo da eletricidade),"Tarifa média de eletricidade da JPS, todas as classes (inclui as parcelas fuel e non-fuel); tarifa residencial (Rate 10) em coluna adicional, em J$/kWh",US$ por kWh,2015–2025,"MSETT (Ministry of Energy, Transport and Telecommunications da Jamaica) – Energy Division, 'Jamaica Energy Statistics', tabela 'JPS Rate Charges' (dados da JPS); 2015 do IRP 2018 (MSET). OUR usada como conferência",https://www.mset.gov.jm/documents/jamaica-energy-statistics/,—,ver coluna data_acesso do arquivo,"Transcrito das edições 2019–2025 de Jamaica Energy Statistics (MSETT), com edição, página, link e data de acesso em cada linha. US$/kWh como publicado pela fonte (conversão feita pelo MSETT, arredondada a 2 casas); valor original em J$/kWh (edições até 2024 publicam em J¢/kWh, dividido por 100). 2025 é preliminar. 2015 vem do IRP 2018 (p. 14). Conversão própria em transform.py (tarifa_eletricidade_usd.csv): J$/kWh dividido pelo câmbio médio anual do WDI (PA.NUS.FCRF, série auxiliar cambio_jmd_usd), gerando a residencial em US$/kWh e a média do sistema recalculada para conferir o US$ publicado. Documentos da JPS (jpsco.com) inacessíveis em 2026-09-14 (bloqueio anti-bot); a Determinação 2019-2024 da OUR (p. 482) confirma a ordem de grandeza (J$34/kWh em 2018-19)"
armazenamento_projetos,setor,Setor – armazenamento (projetos e capacidade),"Projetos de armazenamento em baterias (BESS) na Jamaica: nome, capacidade (MW/MWh), ano, status (operacional, em contratação, em licitação, planejado)",MW e MWh (valor = MWh),2019–2026,"OUR (Determinação JPS Annual Review 2023), MSET (IRP 2022), GPE (Generation Procurement Entity); JPS via imprensa especializada (pv magazine, Gleaner) e JIS como apoio",https://our.org.jm/wp-content/uploads/2023/08/JPS-2023-Annual-Tariff-Review-Determination-Notice.pdf,—,ver coluna data_acesso do arquivo,"Tabela compilada; valor = MWh, potência na coluna mw; ano = comissionamento (operacional), operação prevista (contratação/licitação) ou ano do documento (plano). Cada linha traz fonte, link e data de acesso. O documento original da JPS sobre o BESS de 171,5 MWh não pôde ser lido (jpsco.com bloqueia acesso automatizado) e foi substituído por imprensa especializada. Não há série estatística internacional para armazenamento por país"
populacao,auxiliar,Auxiliar – normalização,População total,Pessoas,1960–2025,Banco Mundial – WDI,https://data.worldbank.org/indicator/SP.POP.TOTL,SP.POP.TOTL,2026-09-14,Usada apenas como denominador
cambio_jmd_usd,auxiliar,Auxiliar – conversão de moeda,"Taxa de câmbio oficial, média do período (moeda local por US$); para a Jamaica, J$ por US$",Moeda local por US$,1960–2025,"Banco Mundial – WDI (origem: FMI, International Financial Statistics)",https://data.worldbank.org/indicator/PA.NUS.FCRF,PA.NUS.FCRF,2026-09-14,"Usada apenas para converter a tarifa manual (J$/kWh) em US$/kWh em transform.py (tarifa_eletricidade_usd.csv). Baixada para todo o grupo, mas só a linha da Jamaica é usada"
