iso3,pais,ano,valor
COL,Colômbia,2010,0.580249488353729
COL,Colômbia,2017,0.593
COL,Colômbia,2018,0.598653852939606
COL,Colômbia,2020,0.60433030128479
CRI,Costa Rica,2010,0.597758889198303
CRI,Costa Rica,2017,0.619
CRI,Costa Rica,2018,0.603258788585663
CRI,Costa Rica,2020,0.628635048866272
DOM,República Dominicana,2017,0.492
DOM,República Dominicana,2018,0.506880283355713
DOM,República Dominicana,2020,0.502766907215118
JAM,Jamaica,2017,0.544
JAM,Jamaica,2018,0.539271950721741
JAM,Jamaica,2020,0.534977912902832
PAN,Panamá,2010,0.513181924819946
PAN,Panamá,2017,0.532
PAN,Panamá,2018,0.513944387435913
PAN,Panamá,2020,0.501601994037628
TTO,Trinidad e Tobago,2010,0.550520300865173
TTO,Trinidad e Tobago,2017,0.613
TTO,Trinidad e Tobago,2018,0.602326810359955
TTO,Trinidad e Tobago,2020,0.603487730026245
