iso3,pais,ano,valor
BRB,Barbados,1990,19195.8871160038
BRB,Barbados,1991,18391.0074040066
BRB,Barbados,1992,17284.5196561055
BRB,Barbados,1993,17370.8734866422
BRB,Barbados,1994,17679.9985547176
BRB,Barbados,1995,18007.2337725556
BRB,Barbados,1996,18705.7976314677
BRB,Barbados,1997,19584.4075964016
BRB,Barbados,1998,20311.199276816
BRB,Barbados,1999,20372.8839348705
BRB,Barbados,2000,21315.7684300571
BRB,Barbados,2001,20782.8432453701
BRB,Barbados,2002,20809.8567218941
BRB,Barbados,2003,21132.3281963019
BRB,Barbados,2004,21308.6052569587
BRB,Barbados,2005,22035.3859581035
BRB,Barbados,2006,23260.8645438811
BRB,Barbados,2007,23631.9433885299
BRB,Barbados,2008,23657.2900650446
BRB,Barbados,2009,22354.8404800399
BRB,Barbados,2010,20464.7939658776
BRB,Barbados,2011,20383.2530917687
BRB,Barbados,2012,19743.57827095
BRB,Barbados,2013,19730.3469740518
BRB,Barbados,2014,19840.8306179644
BRB,Barbados,2015,19642.2322500219
BRB,Barbados,2016,19877.1120083968
BRB,Barbados,2017,19966.3202405154
BRB,Barbados,2018,19877.6759569235
BRB,Barbados,2019,19890.455714094
BRB,Barbados,2020,16399.7020111405
BRB,Barbados,2021,17686.7469386289
BRB,Barbados,2022,20494.5343836936
BRB,Barbados,2023,20865.0155437147
BRB,Barbados,2024,21557.5276350385
BRB,Barbados,2025,22127.3604979718
COL,Colômbia,1990,9998.81069684463
COL,Colômbia,1991,9996.0978604328
COL,Colômbia,1992,10196.4329707468
COL,Colômbia,1993,10533.1149561734
COL,Colômbia,1994,10927.9389491607
COL,Colômbia,1995,11279.0004579347
COL,Colômbia,1996,11303.1308859186
COL,Colômbia,1997,11483.5050125907
COL,Colômbia,1998,11343.8799115733
COL,Colômbia,1999,10679.7092686089
COL,Colômbia,2000,10813.4942250011
COL,Colômbia,2001,10823.4504878807
COL,Colômbia,2002,10925.1485602082
COL,Colômbia,2003,11183.2911819793
COL,Colômbia,2004,11607.9384935105
COL,Colômbia,2005,11999.2549591305
COL,Colômbia,2006,12636.6246577724
COL,Colômbia,2007,13318.3033138168
COL,Colômbia,2008,13591.0609028567
COL,Colômbia,2009,13586.7518430982
COL,Colômbia,2010,14037.0642668639
COL,Colômbia,2011,14852.3699513061
COL,Colômbia,2012,15279.4790008058
COL,Colômbia,2013,15912.2471293239
COL,Colômbia,2014,16480.3631474161
COL,Colômbia,2015,16821.3801400631
COL,Colômbia,2016,17003.244366485
COL,Colômbia,2017,16986.0334182842
COL,Colômbia,2018,17104.1313545678
COL,Colômbia,2019,17336.7716030551
COL,Colômbia,2020,15861.4999291295
COL,Colômbia,2021,17383.0901728295
COL,Colômbia,2022,18458.7209460704
COL,Colômbia,2023,18406.6242338491
COL,Colômbia,2024,18481.8374929368
COL,Colômbia,2025,18778.6482631901
CRI,Costa Rica,1990,10979.788113325
CRI,Costa Rica,1991,10946.3811047015
CRI,Costa Rica,1992,11654.8187340805
CRI,Costa Rica,1993,12173.6770672722
CRI,Costa Rica,1994,12415.2629246683
CRI,Costa Rica,1995,12623.5339424627
CRI,Costa Rica,1996,12497.627359916
CRI,Costa Rica,1997,12887.5255656264
CRI,Costa Rica,1998,13505.0840975141
CRI,Costa Rica,1999,13776.5829416464
CRI,Costa Rica,2000,14025.6899537485
CRI,Costa Rica,2001,14257.525071713
CRI,Costa Rica,2002,14503.176481607
CRI,Costa Rica,2003,14898.7197394794
CRI,Costa Rica,2004,15330.8832332948
CRI,Costa Rica,2005,15711.7451335337
CRI,Costa Rica,2006,16628.3723014013
CRI,Costa Rica,2007,17752.4161954513
CRI,Costa Rica,2008,18343.0996854851
CRI,Costa Rica,2009,17941.5019129465
CRI,Costa Rica,2010,18670.1678827387
CRI,Costa Rica,2011,19264.4566461776
CRI,Costa Rica,2012,19970.6856013628
CRI,Costa Rica,2013,20242.2938648319
CRI,Costa Rica,2014,20735.1927258406
CRI,Costa Rica,2015,21265.3176336354
CRI,Costa Rica,2016,21936.4660575366
CRI,Costa Rica,2017,22633.7648663302
CRI,Costa Rica,2018,23069.8622241266
CRI,Costa Rica,2019,23496.8294622995
CRI,Costa Rica,2020,22368.1378072638
CRI,Costa Rica,2021,24083.5988182437
CRI,Costa Rica,2022,25290.0087466975
CRI,Costa Rica,2023,26378.5409941926
CRI,Costa Rica,2024,27325.0470476503
CRI,Costa Rica,2025,28443.4127676388
DOM,República Dominicana,1990,7327.72670133751
DOM,República Dominicana,1991,7246.24670144222
DOM,República Dominicana,1992,7900.76809265865
DOM,República Dominicana,1993,8318.49178576126
