ano,BRB,COL,CRI,JAM,LCN,PAN,TTO
1990,261.962377943217,136.45174150694749,149.83894133662065,121.17882276771417,169.56934391588447,140.06653442428737,161.98105101907234
1991,253.80045921354343,137.94862736930108,151.06277160730454,127.34697724091973,173.93240865615041,151.7275678590332,167.5674131806789
1992,218.77011770749453,129.05622404258733,147.5150086345414,117.91079144842946,161.1858479378849,147.45148954874819,167.9327491019415
1993,208.8223915346755,126.62289303696741,146.34476273823879,121.27477693760544,157.51711632996566,144.6513691161195,157.34471731907826
1994,211.1782984398409,130.52849215999728,148.2937960091124,120.91671337813976,162.0874155325982,144.80709630761433,160.9248809909111
1995,207.33678286590487,129.8673465579916,145.34841659121284,118.1092350859475,155.0220939066958,139.16666865798686,160.18752932730257
1996,206.993899909921,125.07775339837217,138.2957667893345,112.28942021908486,152.4106464615683,136.41712056683522,164.2037613704492
1997,202.50343841590356,118.73983109620092,133.25745120785382,102.77643920699222,147.84204282857002,134.56412571286444,164.35736049554183
1998,200.10154471044154,111.75745274217013,133.0491692059564,94.82272347942806,142.86344998919893,136.2160603927786,168.75210325007546
1999,192.52253401118034,100.92261348311382,130.1878843672814,91.19605464202245,135.73598424631808,134.7726505777893,174.26232200245892
2000,195.62358236105567,99.23988830505586,128.71953093508066,88.72652556743401,134.56820491398454,133.74224498751636,180.22192259877397
2001,189.08730270100605,98.4743537979182,129.71838969159154,88.58104034546452,132.0836867847494,131.267915286335,185.3016148502762
2002,183.94528197427869,96.57104127987802,128.1984264997432,87.24169273258605,127.27003842957181,128.23354465958886,193.37681803746082
2003,192.09690923037098,101.65825796030504,135.432214891701,92.44497478796951,132.42310255459856,135.9670754925346,226.44415219722185
2004,191.43011976778178,104.28223852633857,137.7280576605122,92.03088077192135,136.19158812154234,142.61730697159308,240.38501756470527
2005,183.28443498134544,99.80658698526486,130.68608531958176,85.49533418268973,129.46695442829994,140.303232694709,245.67618733502803
2006,179.45541618204314,97.49038918217458,128.2863526481822,81.1780822183068,124.76588224967031,140.33633483097768,257.282524180482
2007,171.80718761744367,96.82573280424943,129.0622886916361,77.22650007506189,122.28554273985392,146.92072021581538,252.95416146473718
2008,168.61762032316489,96.87045053791039,130.74066428627785,74.77094159184381,122.89716378891151,155.86320229889716,255.34549559211808
2009,159.76404320328865,97.10086772443067,128.2230973337169,71.41712372523902,119.10100995438945,155.96309446425744,244.505896454723
2010,136.65971674077056,93.73664986709038,124.67557008450376,65.48181011640386,117.20024440814989,151.84719783895764,234.69197320327507
2011,133.58984435603455,97.34097796756835,126.25736203048487,65.09652606490522,118.95717769008746,163.84407958445786,227.8776148401072
2012,127.4825617223087,98.65826235110417,128.94897393338886,63.46522178653561,119.0250421557032,173.86461537213543,238.2839045417759
2013,122.89400448610455,99.11228488109818,126.08275750575085,61.28998707229889,116.89311180067754,175.24600328770424,236.65287027233757
2014,116.75480932367324,96.97989433563696,122.01774812810307,58.093437714782105,110.9384829671802,170.25137119972197,230.9615740643934
2015,109.2863064405636,93.5915267338363,118.31689951954458,55.25953044922052,104.39386159508935,166.54345781986382,216.78939924581178
2016,104.78748460765597,89.6371266902654,115.643917405076,53.66264397821773,97.79586237020908,162.1871960838312,189.33542663907818
2017,102.381545116301,87.09949183486448,116.05943363122762,53.28225205300602,96.11703978788583,163.98333894966652,174.83442561292944
2018,96.20007558030662,82.77721865527273,111.64899228650708,51.47447571959063,91.43850071590172,158.16538001703339,163.14312962923822
2019,92.72383625046668,80.81926298422387,109.53575919950404,50.42295280687821,88.02822577979683,154.60013258953725,157.32718956622972
2020,83.90564356875146,81.1520452393124,114.44189637580307,50.6101910998087,89.57917677401853,137.53524629902873,157.17699328830287
2021,80.19942336056414,78.8225111674317,109.20553928726251,47.29730144974844,84.77727255934391,140.26263542735794,138.21922537338844
2022,89.15722694334617,80.30084224709753,110.01894490574674,48.27362398019924,84.20025223781282,147.54091955555398,133.91989992539908
2023,89.61677202666436,79.05780104928954,113.29776820533878,48.95873371267014,84.40563618881451,154.0770453651836,133.99170026554657
2024,88.97080461859042,76.27701935095686,112.77412991083678,46.80278829168012,82.35344890849704,150.2067252750807,131.90384919279677
2025,90.15626450455031,76.51218860962939,115.89054397728083,46.27697200631982,82.65674797376539,152.85684957279324,129.24717221830434
