iso3,pais,ano,valor
BRB,Barbados,1991,45718.0582663978
BRB,Barbados,1992,43392.1086236108
BRB,Barbados,1993,44056.6561431586
BRB,Barbados,1994,43491.8123014633
BRB,Barbados,1995,41783.0137918438
BRB,Barbados,1996,41254.489564703
BRB,Barbados,1997,42934.178945902
BRB,Barbados,1998,43179.9320626872
BRB,Barbados,1999,42256.7721876537
BRB,Barbados,2000,43413.285113203
BRB,Barbados,2001,42404.4849333
BRB,Barbados,2002,42588.378657898
BRB,Barbados,2003,43482.5392030436
BRB,Barbados,2004,42671.8078482937
BRB,Barbados,2005,43861.1831494364
BRB,Barbados,2006,46069.230222751
BRB,Barbados,2007,46097.8799783391
BRB,Barbados,2008,46551.2269941381
BRB,Barbados,2009,45041.4248736511
BRB,Barbados,2010,41655.8791139759
BRB,Barbados,2011,41816.6975639879
BRB,Barbados,2012,41247.3376523864
BRB,Barbados,2013,40664.0746455723
BRB,Barbados,2014,42272.8773899034
BRB,Barbados,2015,41182.1591787115
BRB,Barbados,2016,40438.3250383729
BRB,Barbados,2017,40597.3054176255
BRB,Barbados,2018,40453.5701793185
BRB,Barbados,2019,40911.47749377
BRB,Barbados,2020,35471.9723053683
BRB,Barbados,2021,38805.7372584942
BRB,Barbados,2022,41104.6728388032
BRB,Barbados,2023,41613.298780412
BRB,Barbados,2024,42853.052200162
BRB,Barbados,2025,44124.6684213303
COL,Colômbia,1991,25863.1671317576
COL,Colômbia,1992,25978.5282533073
COL,Colômbia,1993,26103.373635945
COL,Colômbia,1994,26933.703978635
COL,Colômbia,1995,27664.178952454
COL,Colômbia,1996,28527.5945413051
COL,Colômbia,1997,28844.1802898625
COL,Colômbia,1998,29333.8936792316
COL,Colômbia,1999,29485.0303761739
COL,Colômbia,2000,29797.6990191525
COL,Colômbia,2001,27740.0672440748
COL,Colômbia,2002,28088.6251305347
COL,Colômbia,2003,27816.1210490088
COL,Colômbia,2004,29179.166439611
COL,Colômbia,2005,29660.7179451544
COL,Colômbia,2006,31356.1861554516
COL,Colômbia,2007,33197.4444827689
COL,Colômbia,2008,33476.9968635704
COL,Colômbia,2009,32082.2171363365
COL,Colômbia,2010,32468.6223280651
COL,Colômbia,2011,33527.118877721
COL,Colômbia,2012,33807.7059868675
COL,Colômbia,2013,35058.5651371068
COL,Colômbia,2014,35996.4595285993
COL,Colômbia,2015,36355.5637432912
COL,Colômbia,2016,36943.6403776327
COL,Colômbia,2017,36903.5625254914
COL,Colômbia,2018,37412.4444096565
COL,Colômbia,2019,38575.7202575428
COL,Colômbia,2020,38004.1223580052
COL,Colômbia,2021,39876.7885971864
COL,Colômbia,2022,41331.834908291
COL,Colômbia,2023,40229.6266119942
COL,Colômbia,2024,40372.6103426888
COL,Colômbia,2025,40368.8099915794
CRI,Costa Rica,1991,31857.6204016882
CRI,Costa Rica,1992,33750.9261988016
CRI,Costa Rica,1993,34510.5559205576
CRI,Costa Rica,1994,34701.0668007093
CRI,Costa Rica,1995,34823.0065902779
CRI,Costa Rica,1996,35829.2959274272
CRI,Costa Rica,1997,35086.7131556418
CRI,Costa Rica,1998,35350.3480659629
CRI,Costa Rica,1999,35944.5459895123
CRI,Costa Rica,2000,36440.8800869784
CRI,Costa Rica,2001,36234.2608844594
CRI,Costa Rica,2002,36920.3774954815
CRI,Costa Rica,2003,37477.4940107454
CRI,Costa Rica,2004,38862.7218181211
CRI,Costa Rica,2005,38014.4564270622
CRI,Costa Rica,2006,39962.2329561822
CRI,Costa Rica,2007,41171.2118799792
CRI,Costa Rica,2008,42750.6266414518
CRI,Costa Rica,2009,43125.7779414283
CRI,Costa Rica,2010,45197.4334489446
CRI,Costa Rica,2011,46421.8017224157
CRI,Costa Rica,2012,44870.7377932898
CRI,Costa Rica,2013,45240.5809956916
CRI,Costa Rica,2014,45827.5042604433
CRI,Costa Rica,2015,47719.4785085939
CRI,Costa Rica,2016,51342.8998742927
CRI,Costa Rica,2017,52384.2487701236
CRI,Costa Rica,2018,51883.1416306924
CRI,Costa Rica,2019,51975.9928662886
CRI,Costa Rica,2020,55697.9100124466
CRI,Costa Rica,2021,57647.9358503058
CRI,Costa Rica,2022,57859.8964693541
CRI,Costa Rica,2023,62763.389553521
CRI,Costa Rica,2024,62681.5919400063
CRI,Costa Rica,2025,64822.5228282531
DOM,República Dominicana,1991,22291.4760166624
DOM,República Dominicana,1992,23979.5536413705
DOM,República Dominicana,1993,24930.3827193436
DOM,República Dominicana,1994,24931.0667486017
DOM,República Dominicana,1995,25693.8682509187
DOM,República Dominicana,1996,26522.2212547096
DOM,República Dominicana,1997,28037.154446674
DOM,República Dominicana,1998,29129.7933728025
DOM,República Dominicana,1999,30082.3318661584
DOM,República Dominicana,2000,30768.929108084
DOM,República Dominicana,2001,31814.0647847752
DOM,República Dominicana,2002,32225.7851469485
DOM,República Dominicana,2003,31708.1951609984
DOM,República Dominicana,2004,31522.0653681619
DOM,República Dominicana,2005,34032.3770695378
DOM,República Dominicana,2006,35620.2739197053
DOM,República Dominicana,2007,37379.6964146781
DOM,República Dominicana,2008,37457.7808376334
DOM,República Dominicana,2009,38823.1847142179
DOM,República Dominicana,2010,40301.0416018812
DOM,República Dominicana,2011,40190.7260628552
DOM,República Dominicana,2012,39991.6333846568
DOM,República Dominicana,2013,41670.3363834668
DOM,República Dominicana,2014,43427.4430910586
DOM,República Dominicana,2015,44304.0352599853
DOM,República Dominicana,2016,46036.8088726596
DOM,República Dominicana,2017,46447.9330254985
DOM,República Dominicana,2018,47946.2853253124
DOM,República Dominicana,2019,48767.7871166431
DOM,República Dominicana,2020,47694.874174832
DOM,República Dominicana,2021,52122.1489242308
DOM,República Dominicana,2022,52845.4779231741
DOM,República Dominicana,2023,52472.0258578576
DOM,República Dominicana,2024,53911.1123091322
DOM,República Dominicana,2025,54042.5263715383
JAM,Jamaica,1991,21520.2466409252
JAM,Jamaica,1992,21821.0937568231
JAM,Jamaica,1993,23696.3094688909
JAM,Jamaica,1994,23905.4885743605
JAM,Jamaica,1995,24314.8745238455
JAM,Jamaica,1996,24206.048176993
JAM,Jamaica,1997,23791.1461819091
JAM,Jamaica,1998,23107.8012251236
JAM,Jamaica,1999,23249.9971405796
JAM,Jamaica,2000,23294.4562289784
JAM,Jamaica,2001,23443.1565471052
JAM,Jamaica,2002,23703.9720069918
JAM,Jamaica,2003,24352.0542929427
JAM,Jamaica,2004,24359.0526554961
JAM,Jamaica,2005,24321.5261652193
