ano,BRB,COL,CRI,DOM,JAM,LCN,PAN,TTO
1991,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1992,94.9124050080304,100.4460440632116,105.94302328058711,107.5727494377057,101.39797243459921,99.97735556133787,103.09363636602924,109.42694577745584
1993,96.36598275115217,100.9287590454939,108.32747545302792,111.83818738924545,110.11170022478956,101.32390295565826,103.95192818100485,107.11544971700224
1994,95.13048880605946,104.13923337936009,108.9254827045099,111.84125595795568,111.08371095013041,104.44732516252944,103.62110023819602,105.41300835441847
1995,91.39280051741346,106.96361668128773,109.30824760669368,115.26319850562199,112.98604021389671,103.94543883064293,101.48653297597802,104.3368342088145
1996,90.23674917319167,110.30201520167199,112.46695602389856,118.97920637863912,112.48034737185675,106.8710221023547,102.91139739097068,107.07642779573384
1997,93.91076649783722,111.52609478536945,110.13601365462465,125.7752264844052,110.55238621970676,108.6915621485694,107.61323717346588,111.05367754103979
1998,94.44830708049538,113.41957282258856,110.9635547797839,130.67682620490723,107.37702783191776,109.65621890934487,111.24502757669997,116.47563742624779
1999,92.42906149124865,114.00394323697884,112.82872209629167,134.9499326274873,108.03778194793045,108.86773035883095,114.14153071876596,122.02054528546635
2000,94.95872475649566,115.21287732221958,114.38669815102489,138.03002136370372,108.24437385712473,110.78182521585664,115.39069148515327,126.85240681876056
2001,92.75215645907421,107.25703894946624,113.73812741688414,142.71852057259406,108.9353525462073,108.44942551027441,113.1632547099964,128.1526838685469
2002,93.15439078741437,108.60473888383315,115.89182440482911,144.56550621798402,110.14730640639496,106.9983795217449,112.63641013336564,135.363986924851
2003,95.11020557713125,107.55110117528164,117.64059442669294,142.24358735732528,113.15880667757882,106.87472912325559,115.26900375303246,150.0075451131074
2004,93.33687708180062,112.82131956600804,121.98877796931025,141.40860544451982,113.19132657695623,109.32235685811666,120.37395653832156,153.2252340835599
2005,95.93842086174912,114.68323965912803,119.32610140915527,152.66991312777728,113.01694897384162,110.52393144172675,126.82786198290013,164.30073336184728
2006,100.76812526530968,121.23877170846981,125.44010648725201,159.79324963981708,115.10188893695077,113.07095855197535,137.65713803403386,180.82929894563256
2007,100.83079143415954,128.35800160764333,129.23505070641576,167.68605356925482,115.51466192031829,116.65217959688854,151.18539511996795,187.7505636239847
2008,101.82240619863043,129.43889158286308,134.1927805731101,168.03634182695893,113.44597672451766,118.52515605832457,158.98182155032964,191.10217642277695
2009,98.51998659084781,124.04597230067186,135.37036789835997,174.16157048191158,111.48890592278502,114.77805745232894,163.72090253087325,185.56935091581508
2010,91.11471635835517,125.54000893493283,141.87322492721236,180.79126555709922,111.63121771348521,120.12947699155225,166.3627717937573,190.91336584342764
2011,91.46647768880126,129.6326884751588,145.71647579790897,180.29638787854827,111.7772795426072,123.47488166085532,184.0941328511001,190.32861554573674
2012,90.22110565597376,130.71757923009645,140.84773824134086,179.40325420696195,110.43005686937424,123.94856316047087,190.9814605711201,199.5834479237647
2013,88.94532311198327,135.55402924361144,142.00866362666,186.9339488884411,108.71632343649551,125.87997774381112,196.43771834418416,202.8273048363046
2014,92.46428871405817,139.18040023953193,143.850996033636,194.81636415012412,106.11769982258947,126.09117318234802,202.9272217394137,208.0035859929227
2015,90.07853951002087,140.56887757822162,149.78983962676995,198.74877386705566,100.89994497627318,125.30028590979367,209.21966218430913,208.86791665238817
2016,88.4515365957582,142.84267734661657,161.16363754391378,206.52203038618023,103.34227524865429,124.88886415987818,213.36460721974575,196.89638558873958
2017,88.79927747820388,142.68771623169542,164.43239673779166,208.36634142476552,102.14055860448539,125.52961126411495,223.458580883474,188.39759674682568
2018,88.48488258971263,144.65530930168813,162.85943826470793,215.0879793221121,101.96095802864487,125.17527957826458,221.3128559941576,187.08114118410487
2019,89.4864721843172,149.15311825895967,163.15089517337046,218.77325252123381,100.15258092426717,123.76744463984855,223.06146231621412,188.29199846152642
2020,77.58853645680695,146.94303355964328,174.83386803584068,213.96014395449234,95.46109804883906,125.02304490674962,203.95107114491987,178.44639524080043
2021,84.88054552180299,154.18370222810555,180.95493361849125,233.8209855878122,97.32988592612432,125.87163019861207,234.64071173888019,180.1545216510273
2022,89.90905212834602,159.80964240663045,181.62027087964168,237.06585370871466,98.80706735852279,125.00591701628205,236.89015058309795,179.0414284596118
2023,91.02157956475867,155.5479512893682,197.0121709096485,235.39054039596073,97.22699749558379,125.35773107936947,249.53899711277256,176.14891429822168
2024,93.73331638552649,156.10079823949687,196.75541094928946,241.84631053069253,96.3769984237333,125.92315688911886,252.57322803464132,183.25019848280635
2025,96.51474733291852,156.0861041724863,203.4757210705481,242.43583660024427,95.99684072464021,126.89632160582462,258.8863819682354,182.57420846263346
