iso3,pais,ano,valor
BRB,Barbados,1960,230893
BRB,Barbados,1961,233148
BRB,Barbados,1962,235224
BRB,Barbados,1963,237557
BRB,Barbados,1964,239958
BRB,Barbados,1965,242417
BRB,Barbados,1966,244996
BRB,Barbados,1967,247091
BRB,Barbados,1968,248540
BRB,Barbados,1969,249444
BRB,Barbados,1970,249387
BRB,Barbados,1971,249168
BRB,Barbados,1972,249658
BRB,Barbados,1973,250322
BRB,Barbados,1974,250777
BRB,Barbados,1975,251175
BRB,Barbados,1976,251442
BRB,Barbados,1977,251626
BRB,Barbados,1978,251551
BRB,Barbados,1979,251269
BRB,Barbados,1980,251524
BRB,Barbados,1981,252270
BRB,Barbados,1982,253095
BRB,Barbados,1983,253992
BRB,Barbados,1984,254920
BRB,Barbados,1985,255820
BRB,Barbados,1986,256618
BRB,Barbados,1987,257279
BRB,Barbados,1988,257763
BRB,Barbados,1989,258109
BRB,Barbados,1990,258582
BRB,Barbados,1991,259373
BRB,Barbados,1992,260267
BRB,Barbados,1993,261027
BRB,Barbados,1994,261620
BRB,Barbados,1995,262039
BRB,Barbados,1996,262284
BRB,Barbados,1997,262392
BRB,Barbados,1998,262436
BRB,Barbados,1999,262517
BRB,Barbados,2000,262063
BRB,Barbados,2001,262425
BRB,Barbados,2002,264148
BRB,Barbados,2003,265776
BRB,Barbados,2004,267298
BRB,Barbados,2005,268706
BRB,Barbados,2006,270002
BRB,Barbados,2007,271288
BRB,Barbados,2008,272714
BRB,Barbados,2009,274123
BRB,Barbados,2010,275243
BRB,Barbados,2011,276139
BRB,Barbados,2012,276938
BRB,Barbados,2013,277665
BRB,Barbados,2014,278348
BRB,Barbados,2015,278990
BRB,Barbados,2016,279598
BRB,Barbados,2017,280171
BRB,Barbados,2018,280711
BRB,Barbados,2019,281207
BRB,Barbados,2020,281698
BRB,Barbados,2021,282147
BRB,Barbados,2022,282318
BRB,Barbados,2023,282336
BRB,Barbados,2024,282467
BRB,Barbados,2025,282623
COL,Colômbia,1960,15606209
COL,Colômbia,1961,16095203
COL,Colômbia,1962,16599029
COL,Colômbia,1963,17113823
COL,Colômbia,1964,17637411
COL,Colômbia,1965,18169050
COL,Colômbia,1966,18702688
COL,Colômbia,1967,19235618
COL,Colômbia,1968,19766796
COL,Colômbia,1969,20291942
COL,Colômbia,1970,20811782
COL,Colômbia,1971,21319096
COL,Colômbia,1972,21819563
COL,Colômbia,1973,22325374
COL,Colômbia,1974,22833469
COL,Colômbia,1975,23344644
COL,Colômbia,1976,23858810
COL,Colômbia,1977,24393494
COL,Colômbia,1978,24950337
COL,Colômbia,1979,25515626
COL,Colômbia,1980,26104498
COL,Colômbia,1981,26713267
COL,Colômbia,1982,27338331
COL,Colômbia,1983,27988173
COL,Colômbia,1984,28642690
COL,Colômbia,1985,29268470
COL,Colômbia,1986,29879112
COL,Colômbia,1987,30499467
COL,Colômbia,1988,31130524
COL,Colômbia,1989,31776279
COL,Colômbia,1990,32440069
COL,Colômbia,1991,33098372
COL,Colômbia,1992,33760571
COL,Colômbia,1993,34441473
COL,Colômbia,1994,35127410
COL,Colômbia,1995,35804662
COL,Colômbia,1996,36462745
COL,Colômbia,1997,37121149
COL,Colômbia,1998,37792165
COL,Colômbia,1999,38454863
COL,Colômbia,2000,39089934
COL,Colômbia,2001,39709262
COL,Colômbia,2002,40324680
COL,Colômbia,2003,40937429
COL,Colômbia,2004,41543171
