iso3,pais,ano,valor
BRB,Barbados,2001,0.100000005
BRB,Barbados,2002,0.100000005
BRB,Barbados,2003,0.100000005
BRB,Barbados,2004,0.100000005
BRB,Barbados,2005,0.20000001
BRB,Barbados,2006,0.20000001
BRB,Barbados,2007,0.6
BRB,Barbados,2008,0.6
BRB,Barbados,2009,0.80000004
BRB,Barbados,2010,1.0
BRB,Barbados,2011,1.25
BRB,Barbados,2012,1.5
BRB,Barbados,2013,0.42700000000000005
BRB,Barbados,2014,1.2950001
BRB,Barbados,2015,3.095
BRB,Barbados,2016,14.938
BRB,Barbados,2017,16.398000999999997
BRB,Barbados,2018,17.246999
BRB,Barbados,2019,33.211
BRB,Barbados,2020,49.154999999999994
BRB,Barbados,2021,63.926995
BRB,Barbados,2022,69.343
BRB,Barbados,2023,69.343
BRB,Barbados,2024,69.343
BRB,Barbados,2025,69.343
COL,Colômbia,2000,0.6
COL,Colômbia,2001,0.99
COL,Colômbia,2002,1.0299999
COL,Colômbia,2003,1.07
COL,Colômbia,2004,1.09
COL,Colômbia,2005,1.1199999999999999
COL,Colômbia,2006,1.16
COL,Colômbia,2007,1.1799999
COL,Colômbia,2008,1.23
COL,Colômbia,2009,1.25
COL,Colômbia,2010,1.27
COL,Colômbia,2011,1.31
COL,Colômbia,2012,1.32
COL,Colômbia,2013,1.38
COL,Colômbia,2014,1.42
COL,Colômbia,2015,1.46
COL,Colômbia,2016,1.5199999
COL,Colômbia,2017,11.32
COL,Colômbia,2018,13.379999999999999
COL,Colômbia,2019,22.612002
COL,Colômbia,2020,73.62599999999999
COL,Colômbia,2021,152.74099999999999
COL,Colômbia,2022,307.415
COL,Colômbia,2023,532.94504
COL,Colômbia,2024,1417.0611
COL,Colômbia,2025,1726.24
CRI,Costa Rica,2000,0.24450299999999997
CRI,Costa Rica,2001,0.29738699999999996
CRI,Costa Rica,2002,0.35027097
CRI,Costa Rica,2003,0.403155
CRI,Costa Rica,2004,0.45603899999999997
CRI,Costa Rica,2005,0.50892297
CRI,Costa Rica,2006,0.52987
CRI,Costa Rica,2007,0.5508180500000001
CRI,Costa Rica,2008,0.571766
CRI,Costa Rica,2009,0.592713
CRI,Costa Rica,2010,0.615661
CRI,Costa Rica,2011,0.76717103
CRI,Costa Rica,2012,2.273855
CRI,Costa Rica,2013,2.5534448
CRI,Costa Rica,2014,4.766445
CRI,Costa Rica,2015,8.524446
CRI,Costa Rica,2016,13.381453
CRI,Costa Rica,2017,18.859634
CRI,Costa Rica,2018,31.554695000000002
CRI,Costa Rica,2019,47.26374
CRI,Costa Rica,2020,55.758633
CRI,Costa Rica,2021,72.58253
CRI,Costa Rica,2022,72.58718999999999
CRI,Costa Rica,2023,72.54918
CRI,Costa Rica,2024,72.54918
CRI,Costa Rica,2025,82.63618000000001
DOM,República Dominicana,2011,0.01
DOM,República Dominicana,2012,2.9299999999999997
DOM,República Dominicana,2013,8.36
DOM,República Dominicana,2014,14.8
DOM,República Dominicana,2015,23.599999999999998
DOM,República Dominicana,2016,71.31
DOM,República Dominicana,2017,94.950005
DOM,República Dominicana,2018,191.0
DOM,República Dominicana,2019,334.79998
DOM,República Dominicana,2020,385.5
DOM,República Dominicana,2021,583.79996
DOM,República Dominicana,2022,735.169
DOM,República Dominicana,2023,1076.787
DOM,República Dominicana,2024,1422.587
DOM,República Dominicana,2025,2083.0570000000002
JAM,Jamaica,2001,0.100000005
JAM,Jamaica,2002,0.100000005
JAM,Jamaica,2003,0.100000005
JAM,Jamaica,2004,0.20000001
JAM,Jamaica,2005,0.20000001
JAM,Jamaica,2006,0.20000001
JAM,Jamaica,2007,0.40000002
JAM,Jamaica,2008,0.6
JAM,Jamaica,2009,0.7
JAM,Jamaica,2010,1.0
JAM,Jamaica,2011,1.5
JAM,Jamaica,2012,1.8
JAM,Jamaica,2013,2.106
JAM,Jamaica,2014,4.1079996
JAM,Jamaica,2015,6.513
JAM,Jamaica,2016,27.513001
JAM,Jamaica,2017,55.513002
JAM,Jamaica,2018,55.513002
JAM,Jamaica,2019,107.01299999999999
JAM,Jamaica,2020,107.01299999999999
JAM,Jamaica,2021,108.013004
JAM,Jamaica,2022,110.06299999999999
JAM,Jamaica,2023,113.063
JAM,Jamaica,2024,116.573
JAM,Jamaica,2025,116.573
PAN,Panamá,2014,2.4
PAN,Panamá,2015,42.7
PAN,Panamá,2016,88.53
PAN,Panamá,2017,126.78
PAN,Panamá,2018,199.11200000000002
PAN,Panamá,2019,224.63
PAN,Panamá,2020,235.06999000000002
PAN,Panamá,2021,498.466
PAN,Panamá,2022,529.19
PAN,Panamá,2023,646.365
PAN,Panamá,2024,743.1640000000001
PAN,Panamá,2025,973.364
TTO,Trinidad e Tobago,2000,0.34099998000000004
TTO,Trinidad e Tobago,2001,0.6669999999999999
TTO,Trinidad e Tobago,2002,0.879
TTO,Trinidad e Tobago,2003,1.222
TTO,Trinidad e Tobago,2004,1.656
TTO,Trinidad e Tobago,2005,1.7619999000000002
TTO,Trinidad e Tobago,2006,1.9849999999999999
TTO,Trinidad e Tobago,2007,2.11
TTO,Trinidad e Tobago,2008,2.27
TTO,Trinidad e Tobago,2009,2.5300000000000002
TTO,Trinidad e Tobago,2010,2.8310001
TTO,Trinidad e Tobago,2011,2.8310001
TTO,Trinidad e Tobago,2012,4.0
TTO,Trinidad e Tobago,2013,4.0
TTO,Trinidad e Tobago,2014,4.001
TTO,Trinidad e Tobago,2015,4.001
TTO,Trinidad e Tobago,2016,4.001
TTO,Trinidad e Tobago,2017,4.001
TTO,Trinidad e Tobago,2018,4.001
TTO,Trinidad e Tobago,2019,4.001
TTO,Trinidad e Tobago,2020,4.001
TTO,Trinidad e Tobago,2021,4.101
TTO,Trinidad e Tobago,2022,4.101
TTO,Trinidad e Tobago,2023,4.106
TTO,Trinidad e Tobago,2024,4.623
TTO,Trinidad e Tobago,2025,96.623
