iso3,pais,ano,valor,segmento,moeda_original,valor_original,residencial_jmd_por_kwh,fonte,link,data_acesso,observacao
JAM,Jamaica,2015,0.27,média do sistema (todas as classes),USD/kWh,0.27,32.22,"MSET – 2018 Jamaica Integrated Resource Plan (aprovado em fev. 2020), p. 14",https://www.mset.gov.jm/wp-content/uploads/2020/03/2018-Jamaica-Integrated-Resource-Feb-21-2020.pdf,2026-09-14,"Texto do IRP: 'Jamaica's average electricity tariff of US$0.27 per kWh in 2015'. A média em J$ não consta da edição 2019 de Jamaica Energy Statistics (só tarifas por classe, p. 16); residencial (Rate 10) = 3.222 J¢/kWh nessa edição (https://www.mset.gov.jm/wp-content/uploads/2020/06/Jamaica-Energy-Statistics-2019.pdf)."
JAM,Jamaica,2016,0.22,média do sistema (todas as classes),JMD/kWh,26.9377,30.4426,"MSETT – Jamaica Energy Statistics 2020, tabela 'Average Rate Charge (JA¢/kWh)' (fonte: JPS e IPPs), p. 16",https://www.mset.gov.jm/wp-content/uploads/2020/06/JAMAICA-ENERGY-STATISTICS-2020.pdf,2026-09-14,"Publicado em J¢/kWh (2.693,77) e US¢/kWh (22, inteiro); J$/kWh = J¢/100. Residencial (Rate 10) = 3.044,26 J¢/kWh."
JAM,Jamaica,2017,0.25,média do sistema (todas as classes),JMD/kWh,32.6509,36.7678,"MSETT – Jamaica Energy Statistics 2020, tabela 'Average Rate Charge (JA¢/kWh)' (fonte: JPS e IPPs), p. 16",https://www.mset.gov.jm/wp-content/uploads/2020/06/JAMAICA-ENERGY-STATISTICS-2020.pdf,2026-09-14,"Publicado em J¢/kWh (3.265,09) e US¢/kWh (25); J$/kWh = J¢/100. Residencial (Rate 10) = 3.676,78 J¢/kWh."
JAM,Jamaica,2018,0.28,média do sistema (todas as classes),JMD/kWh,35.7645,39.9985,"MSETT – Jamaica Energy Statistics 2020, tabela 'Average Rate Charge (JA¢/kWh)' (fonte: JPS e IPPs), p. 16",https://www.mset.gov.jm/wp-content/uploads/2020/06/JAMAICA-ENERGY-STATISTICS-2020.pdf,2026-09-14,"Publicado em J¢/kWh (3.576,45) e US¢/kWh (28); J$/kWh = J¢/100. Residencial (Rate 10) = 3.999,85 J¢/kWh. Conferência: a OUR (Determinação 2019-2024, p. 482) cita tarifa média de J$34/kWh em 2018-19."
JAM,Jamaica,2019,0.27,média do sistema (todas as classes),JMD/kWh,35.69,40.06,"MSETT – Jamaica Energy Statistics 2023 (rev. ago. 2024), tabela 'Trends in JPS Rate Charges (Jamaican Cents/kWh)' (fonte: JPS), p. 18",https://www.mset.gov.jm/wp-content/uploads/2021/07/JAMAICA-ENERGY-STATISTICS-2023-Revised-August-2024.pdf,2026-09-14,"Publicado em J¢/kWh (3.569) e US¢/kWh (27); J$/kWh = J¢/100. A edição 2020 trazia 3.569,24 (2019p). Residencial (Rate 10) = 4.006 J¢/kWh."
JAM,Jamaica,2020,0.28,média do sistema (todas as classes),JMD/kWh,39.93,44.04,"MSETT – Jamaica Energy Statistics 2024 (jul. 2025), tabela 'Trends in JPS Rate Charges (Jamaican Cents/kWh)' (fonte: JPS), p. 18",https://www.mset.gov.jm/wp-content/uploads/2021/07/JAMAICA-ENERGY-STATISTICS-2024.pdf,2026-09-14,"Publicado em J¢/kWh (3.993) e US¢/kWh (28); J$/kWh = J¢/100. A edição 2020 trazia 3.992,73 (2020p). Residencial (Rate 10) = 4.404 J¢/kWh."
JAM,Jamaica,2021,0.31,média do sistema (todas as classes),JMD/kWh,46.57,52.04,"MSETT – Jamaica Energy Statistics 2025 (jul. 2026), tabela 'JPS Rate Charges (Jamaican Dollars/kWh)' (fonte: JPS), p. 18",https://www.mset.gov.jm/wp-content/uploads/2021/07/JAMAICA-ENERGY-STATISTICS-2025.pdf,2026-09-14,"Publicado em J$/kWh e US$/kWh (2 casas). Mesmo valor na edição 2024 (4.657 J¢/kWh; 31 US¢). Residencial (Rate 10) = 52,04 J$/kWh."
JAM,Jamaica,2022,0.36,média do sistema (todas as classes),JMD/kWh,55.79,62.92,"MSETT – Jamaica Energy Statistics 2025 (jul. 2026), tabela 'JPS Rate Charges (Jamaican Dollars/kWh)' (fonte: JPS), p. 18",https://www.mset.gov.jm/wp-content/uploads/2021/07/JAMAICA-ENERGY-STATISTICS-2025.pdf,2026-09-14,"Publicado em J$/kWh e US$/kWh (2 casas). Mesmo valor na edição 2024 (5.579 J¢/kWh; 36 US¢). Pico associado ao preço dos combustíveis em 2022 (OUR, Determinação 2023, p. 85: fuel charge máximo de 24,711 US¢/kWh em set. 2022). Residencial (Rate 10) = 62,92 J$/kWh."
JAM,Jamaica,2023,0.31,média do sistema (todas as classes),JMD/kWh,47.73,55.14,"MSETT – Jamaica Energy Statistics 2025 (jul. 2026), tabela 'JPS Rate Charges (Jamaican Dollars/kWh)' (fonte: JPS), p. 18",https://www.mset.gov.jm/wp-content/uploads/2021/07/JAMAICA-ENERGY-STATISTICS-2025.pdf,2026-09-14,"Publicado em J$/kWh e US$/kWh (2 casas). Mesmo valor na edição 2024 (4.773 J¢/kWh; 31 US¢). Residencial (Rate 10) = 55,14 J$/kWh."
JAM,Jamaica,2024,0.32,média do sistema (todas as classes),JMD/kWh,49.88,56.95,"MSETT – Jamaica Energy Statistics 2025 (jul. 2026), tabela 'JPS Rate Charges (Jamaican Dollars/kWh)' (fonte: JPS), p. 18",https://www.mset.gov.jm/wp-content/uploads/2021/07/JAMAICA-ENERGY-STATISTICS-2025.pdf,2026-09-14,"Publicado em J$/kWh e US$/kWh (2 casas). A edição 2024 trazia o mesmo valor como preliminar (4.988 J¢/kWh; 32 US¢). Residencial (Rate 10) = 56,95 J$/kWh."
JAM,Jamaica,2025,0.32,média do sistema (todas as classes),JMD/kWh,51.67,58.35,"MSETT – Jamaica Energy Statistics 2025 (jul. 2026), tabela 'JPS Rate Charges (Jamaican Dollars/kWh)' (fonte: JPS), p. 18",https://www.mset.gov.jm/wp-content/uploads/2021/07/JAMAICA-ENERGY-STATISTICS-2025.pdf,2026-09-14,"Preliminar (2025p). Publicado em J$/kWh e US$/kWh (2 casas). Residencial (Rate 10) = 58,35 J$/kWh."
