ano,media_sistema_usd_publicado,media_sistema_jmd,residencial_jmd,cambio_jmd_por_usd,media_sistema_usd_calc,residencial_usd_calc
2015,0.27,,32.22,116.969776646049,,0.2754557709167715
2016,0.22,26.9377,30.4426,125.095034603174,0.21533788359747189,0.24335578223843896
2017,0.25,32.6509,36.7678,127.964544179198,0.2551558340588201,0.2873280269612135
2018,0.28,35.7645,39.9985,128.87151906466,0.2775205899610411,0.31037501761681846
2019,0.27,35.69,40.06,133.31211833796,0.2677175972068958,0.30049781294783545
2020,0.28,39.93,44.04,142.402832756013,0.28040172535341606,0.3092635107579375
2021,0.31,46.57,52.04,150.790105943026,0.3088398917737736,0.34511548138087134
2022,0.36,55.79,62.92,153.426816475659,0.3636261331724303,0.4100978006669531
2023,0.31,47.73,55.14,154.158779031722,0.3096158408868714,0.3576831650220425
2024,0.32,49.88,56.95,156.439540115298,0.3188452226543097,0.36403840076509497
2025,0.32,51.67,58.35,159.096428305753,0.324771590099434,0.36675870490230256
