iso3,pais,ano,valor
BRB,Barbados,1996,0.7767277
BRB,Barbados,1998,1.1357849
BRB,Barbados,2000,1.4963631
BRB,Barbados,2002,1.5000349
BRB,Barbados,2003,1.4984726
BRB,Barbados,2004,1.3795153
BRB,Barbados,2005,1.5123336
BRB,Barbados,2006,1.373603
BRB,Barbados,2007,1.4525439
BRB,Barbados,2008,1.4920796
BRB,Barbados,2009,1.1713505
BRB,Barbados,2010,1.1937698
BRB,Barbados,2011,1.2130279
BRB,Barbados,2012,1.1685047
BRB,Barbados,2013,1.1305025
BRB,Barbados,2014,1.0585348
BRB,Barbados,2015,1.0869039
BRB,Barbados,2016,1.0487063
BRB,Barbados,2017,0.9602192
BRB,Barbados,2018,0.8225751
BRB,Barbados,2019,0.7845979
BRB,Barbados,2020,0.7048546
BRB,Barbados,2021,0.7010659
BRB,Barbados,2022,0.7169373
BRB,Barbados,2023,0.7343145
BRB,Barbados,2024,0.7277751
COL,Colômbia,1996,-0.8696204
COL,Colômbia,1998,-0.797549
COL,Colômbia,2000,-1.051231
COL,Colômbia,2002,-0.807042599999999
COL,Colômbia,2003,-0.7606776
COL,Colômbia,2004,-0.5322335
COL,Colômbia,2005,-0.5597229
COL,Colômbia,2006,-0.552814399999999
COL,Colômbia,2007,-0.439477699999999
COL,Colômbia,2008,-0.4087231
COL,Colômbia,2009,-0.4629502
COL,Colômbia,2010,-0.360987499999999
COL,Colômbia,2011,-0.3902442
COL,Colômbia,2012,-0.447664299999999
COL,Colômbia,2013,-0.483686599999999
COL,Colômbia,2014,-0.4114652
COL,Colômbia,2015,-0.3995338
COL,Colômbia,2016,-0.3488186
COL,Colômbia,2017,-0.3653829
COL,Colômbia,2018,-0.422010899999999
COL,Colômbia,2019,-0.452757099999999
COL,Colômbia,2020,-0.482495599999999
COL,Colômbia,2021,-0.506983
COL,Colômbia,2022,-0.5296476
COL,Colômbia,2023,-0.5648803
COL,Colômbia,2024,-0.5597434
CRI,Costa Rica,1996,0.5214281
CRI,Costa Rica,1998,0.4535106
CRI,Costa Rica,2000,0.4845927
CRI,Costa Rica,2002,0.600659
CRI,Costa Rica,2003,0.5568333
CRI,Costa Rica,2004,0.5530801
CRI,Costa Rica,2005,0.6186681
CRI,Costa Rica,2006,0.5369891
CRI,Costa Rica,2007,0.5276824
CRI,Costa Rica,2008,0.5507059
CRI,Costa Rica,2009,0.6269671
CRI,Costa Rica,2010,0.6499221
CRI,Costa Rica,2011,0.4626021
CRI,Costa Rica,2012,0.4471085
CRI,Costa Rica,2013,0.4576895
CRI,Costa Rica,2014,0.5463937
CRI,Costa Rica,2015,0.5212516
CRI,Costa Rica,2016,0.5143501
CRI,Costa Rica,2017,0.54111
CRI,Costa Rica,2018,0.518591
CRI,Costa Rica,2019,0.5808637
CRI,Costa Rica,2020,0.6316985
CRI,Costa Rica,2021,0.6104539
CRI,Costa Rica,2022,0.6675589
CRI,Costa Rica,2023,0.6431263
CRI,Costa Rica,2024,0.6167412
DOM,República Dominicana,1996,-0.5997454
DOM,República Dominicana,1998,-0.667573299999999
DOM,República Dominicana,2000,-0.7152811
DOM,República Dominicana,2002,-0.7124813
DOM,República Dominicana,2003,-0.7899149
DOM,República Dominicana,2004,-0.6325628
DOM,República Dominicana,2005,-0.5602289
DOM,República Dominicana,2006,-0.4579742
DOM,República Dominicana,2007,-0.477022599999999
DOM,República Dominicana,2008,-0.5682262
DOM,República Dominicana,2009,-0.6085762
DOM,República Dominicana,2010,-0.658293999999999
DOM,República Dominicana,2011,-0.6041963
DOM,República Dominicana,2012,-0.5862733
DOM,República Dominicana,2013,-0.5420109
DOM,República Dominicana,2014,-0.413435
DOM,República Dominicana,2015,-0.5344359
DOM,República Dominicana,2016,-0.5326099
DOM,República Dominicana,2017,-0.5595468
DOM,República Dominicana,2018,-0.5483264
DOM,República Dominicana,2019,-0.4801078
DOM,República Dominicana,2020,-0.3813297
DOM,República Dominicana,2021,-0.3243436
DOM,República Dominicana,2022,-0.2774196
DOM,República Dominicana,2023,-0.241159899999999
DOM,República Dominicana,2024,-0.1822626
JAM,Jamaica,1996,-0.1660905
JAM,Jamaica,1998,-0.1682579
JAM,Jamaica,2000,-0.489751
JAM,Jamaica,2002,-0.293559
JAM,Jamaica,2003,-0.305149499999999
JAM,Jamaica,2004,-0.2189875
JAM,Jamaica,2005,-0.199788499999999
JAM,Jamaica,2006,-0.246561999999999
JAM,Jamaica,2007,-0.1580034
JAM,Jamaica,2008,-0.1644824
JAM,Jamaica,2009,-0.309641599999999
JAM,Jamaica,2010,-0.3988235
JAM,Jamaica,2011,-0.2893569
JAM,Jamaica,2012,-0.356012799999999
JAM,Jamaica,2013,-0.2763074
JAM,Jamaica,2014,-0.1823274
JAM,Jamaica,2015,-0.1394095
JAM,Jamaica,2016,-0.1131152
JAM,Jamaica,2017,-0.0899914
JAM,Jamaica,2018,-0.1409645
JAM,Jamaica,2019,-0.1704977
JAM,Jamaica,2020,-0.103995499999999
JAM,Jamaica,2021,-0.0742917999999999
JAM,Jamaica,2022,-0.0687388999999999
JAM,Jamaica,2023,-0.0768587999999999
JAM,Jamaica,2024,-0.0776697
PAN,Panamá,1996,-0.2148676
PAN,Panamá,1998,-0.214869099999999
PAN,Panamá,2000,-0.2963865
PAN,Panamá,2002,-0.090547
PAN,Panamá,2003,-0.0870775999999999
PAN,Panamá,2004,-0.0126133999999999
PAN,Panamá,2005,-0.0773161
PAN,Panamá,2006,-0.0614406
PAN,Panamá,2007,-0.0240050999999999
PAN,Panamá,2008,-0.0807623
PAN,Panamá,2009,-0.1123227
PAN,Panamá,2010,-0.124747799999999
PAN,Panamá,2011,-0.0333011999999999
PAN,Panamá,2012,-0.2767365
PAN,Panamá,2013,-0.2985413
PAN,Panamá,2014,-0.1423563
PAN,Panamá,2015,-0.1702773
PAN,Panamá,2016,-0.1355383
PAN,Panamá,2017,-0.159659599999999
PAN,Panamá,2018,-0.2517367
PAN,Panamá,2019,-0.2786019
PAN,Panamá,2020,-0.2397538
PAN,Panamá,2021,-0.230409999999999
PAN,Panamá,2022,-0.214656799999999
PAN,Panamá,2023,-0.227944099999999
PAN,Panamá,2024,-0.2634275
TTO,Trinidad e Tobago,1996,0.7552135
TTO,Trinidad e Tobago,1998,0.7097717
TTO,Trinidad e Tobago,2000,0.4359822
TTO,Trinidad e Tobago,2002,0.4586587
TTO,Trinidad e Tobago,2003,0.2751232
TTO,Trinidad e Tobago,2004,0.1694897
TTO,Trinidad e Tobago,2005,0.19417
TTO,Trinidad e Tobago,2006,-0.0399353999999999
TTO,Trinidad e Tobago,2007,0.0428116
TTO,Trinidad e Tobago,2008,-0.0296308
TTO,Trinidad e Tobago,2009,-0.0444168
TTO,Trinidad e Tobago,2010,-0.0729938
TTO,Trinidad e Tobago,2011,-0.1046704
TTO,Trinidad e Tobago,2012,-0.0707812999999999
TTO,Trinidad e Tobago,2013,-0.1457194
TTO,Trinidad e Tobago,2014,0.0193675
TTO,Trinidad e Tobago,2015,0.0080118
TTO,Trinidad e Tobago,2016,-0.0255922
TTO,Trinidad e Tobago,2017,-0.00602609999999999
TTO,Trinidad e Tobago,2018,-0.1219214
TTO,Trinidad e Tobago,2019,-0.137867699999999
TTO,Trinidad e Tobago,2020,-0.1617074
TTO,Trinidad e Tobago,2021,-0.1513775
TTO,Trinidad e Tobago,2022,-0.2477989
TTO,Trinidad e Tobago,2023,-0.315203499999999
TTO,Trinidad e Tobago,2024,-0.371533
